Game Number,Score,Tiles Closed,Rolls,Moves
1,34,4,"[(5, 6), (1, 1)]","[(1, 2, 3, 5)]"
2,17,7,"[(2, 3), (4, 5), (5, 1), (2, 6), (4, 6)]","[(1, 4), (2, 7), (6,), (3, 5)]"
3,28,5,"[(2, 6), (3, 6), (5, 1)]","[(1, 2, 5), (3, 6)]"
4,24,6,"[(2, 4), (5, 1), (5, 4), (5, 5)]","[(1, 2, 3), (6,), (4, 5)]"
5,22,6,"[(2, 1), (5, 1), (2, 5), (4, 3), (3, 3)]","[(1, 2), (6,), (3, 4), (7,)]"
6,30,5,"[(2, 6), (5, 2), (6, 6)]","[(1, 2, 5), (3, 4)]"
7,32,4,"[(6, 3), (1, 3), (5, 1)]","[(1, 2, 6), (4,)]"
8,28,5,"[(2, 6), (3, 6), (4, 6)]","[(1, 2, 5), (3, 6)]"
9,30,5,"[(1, 2), (2, 5), (1, 4), (2, 2)]","[(1, 2), (3, 4), (5,)]"
10,0,9,"[(2, 3), (2, 1), (3, 2), (5, 4), (3, 3), (3, 5), (3, 6)]","[(1, 4), (3,), (5,), (2, 7), (6,), (8,), (9,)]"
11,26,5,"[(2, 3), (6, 3), (4, 1), (6, 4)]","[(1, 4), (2, 7), (5,)]"
12,29,5,"[(5, 5), (4, 2), (5, 5)]","[(1, 2, 3, 4), (6,)]"
13,26,5,"[(5, 4), (5, 5), (1, 2)]","[(1, 2, 6), (3, 7)]"
14,34,4,"[(2, 4), (4, 1), (1, 2)]","[(1, 2, 3), (5,)]"
15,27,5,"[(5, 6), (5, 2), (5, 6)]","[(1, 2, 3, 5), (7,)]"
16,18,6,"[(5, 3), (4, 6), (6, 3), (6, 5)]","[(1, 2, 5), (3, 7), (9,)]"
17,11,7,"[(4, 3), (6, 6), (1, 6), (2, 6), (3, 6)]","[(1, 2, 4), (3, 9), (7,), (8,)]"
18,16,7,"[(6, 3), (6, 5), (5, 4), (3, 2)]","[(1, 2, 6), (3, 8), (4, 5)]"
19,22,6,"[(4, 4), (2, 6), (5, 2), (4, 6)]","[(1, 2, 5), (8,), (3, 4)]"
20,20,6,"[(2, 6), (2, 6), (3, 6), (1, 5)]","[(1, 2, 5), (8,), (3, 6)]"
21,37,3,"[(2, 2), (3, 1), (2, 2)]","[(1, 3), (4,)]"
22,5,8,"[(6, 3), (2, 5), (3, 4), (4, 5), (6, 2), (2, 1)]","[(1, 2, 6), (3, 4), (7,), (9,), (8,)]"
23,23,6,"[(4, 2), (6, 3), (1, 6), (6, 1)]","[(1, 2, 3), (4, 5), (7,)]"
24,20,6,"[(3, 4), (6, 5), (1, 6), (1, 2)]","[(1, 2, 4), (3, 8), (7,)]"
25,19,6,"[(6, 5), (6, 2), (2, 5), (5, 3)]","[(1, 2, 3, 5), (8,), (7,)]"
26,29,5,"[(5, 4), (5, 2), (4, 2)]","[(1, 2, 6), (3, 4)]"
27,24,6,"[(3, 4), (3, 6), (1, 4), (1, 3)]","[(1, 2, 4), (3, 6), (5,)]"
28,29,5,"[(3, 6), (3, 4), (4, 6)]","[(1, 2, 6), (3, 4)]"
29,17,7,"[(1, 3), (5, 3), (6, 3), (5, 2), (6, 5)]","[(1, 3), (2, 6), (4, 5), (7,)]"
30,30,5,"[(5, 1), (4, 5), (2, 2)]","[(1, 2, 3), (4, 5)]"
31,24,6,"[(6, 4), (6, 5), (2, 1)]","[(1, 2, 3, 4), (5, 6)]"
32,20,6,"[(4, 6), (3, 3), (4, 5), (6, 5)]","[(1, 2, 3, 4), (6,), (9,)]"
33,19,6,"[(1, 2), (6, 5), (6, 6), (2, 6)]","[(1, 2), (3, 8), (5, 7)]"
34,0,9,"[(6, 3), (2, 3), (5, 3), (3, 4), (3, 6), (2, 5)]","[(1, 2, 6), (5,), (8,), (3, 4), (9,), (7,)]"
35,24,6,"[(2, 1), (4, 4), (5, 5), (3, 2)]","[(1, 2), (3, 5), (4, 6)]"
36,28,5,"[(6, 6), (2, 3), (1, 4)]","[(1, 2, 3, 6), (5,)]"
37,31,4,"[(1, 4), (3, 6), (5, 5)]","[(1, 4), (2, 7)]"
38,38,3,"[(2, 5), (1, 1)]","[(1, 2, 4)]"
39,22,6,"[(5, 2), (6, 3), (3, 4), (6, 5)]","[(1, 2, 4), (3, 6), (7,)]"
40,23,6,"[(5, 3), (1, 3), (6, 4), (2, 5)]","[(1, 2, 5), (4,), (3, 7)]"
41,32,4,"[(4, 3), (1, 5), (2, 2)]","[(1, 2, 4), (6,)]"
42,33,4,"[(1, 4), (6, 1), (2, 2)]","[(1, 4), (2, 5)]"
43,23,6,"[(1, 3), (4, 5), (6, 3), (6, 1)]","[(1, 3), (2, 7), (4, 5)]"
44,27,5,"[(6, 5), (4, 3), (6, 1)]","[(1, 2, 3, 5), (7,)]"
45,23,6,"[(4, 4), (1, 2), (6, 5), (3, 1)]","[(1, 2, 5), (3,), (4, 7)]"
46,26,5,"[(5, 5), (4, 5), (4, 5)]","[(1, 2, 3, 4), (9,)]"
47,10,7,"[(2, 6), (4, 6), (6, 3), (3, 5), (4, 5)]","[(1, 2, 5), (3, 7), (9,), (8,)]"
48,23,6,"[(6, 5), (6, 5), (6, 6)]","[(1, 2, 3, 5), (4, 7)]"
49,33,4,"[(1, 5), (4, 2), (1, 1)]","[(1, 2, 3), (6,)]"
50,15,7,"[(2, 3), (5, 5), (4, 2), (6, 3), (5, 4)]","[(1, 4), (2, 3, 5), (6,), (9,)]"
51,24,6,"[(4, 3), (1, 5), (6, 2), (5, 6)]","[(1, 2, 4), (6,), (3, 5)]"
52,19,6,"[(2, 1), (3, 6), (3, 2), (6, 3), (4, 1)]","[(1, 2), (3, 6), (5,), (9,)]"
53,21,6,"[(2, 1), (2, 5), (4, 4), (3, 3), (3, 3)]","[(1, 2), (3, 4), (8,), (6,)]"
54,19,6,"[(5, 3), (1, 2), (5, 3), (1, 6), (2, 6)]","[(1, 2, 5), (3,), (8,), (7,)]"
55,0,9,"[(4, 4), (4, 5), (3, 6), (6, 5), (2, 6)]","[(1, 2, 5), (3, 6), (9,), (4, 7), (8,)]"
56,12,7,"[(3, 6), (3, 1), (6, 3), (5, 6), (1, 5)]","[(1, 2, 6), (4,), (9,), (3, 8)]"
